City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Les Cayes,HT,81.36,light rain,18.2,-73.75,Villa Orphee
346,Lazaro Cardenas,MX,79.16,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
347,Cayenne,GF,80.6,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
348,Biltine,TD,79.77,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
349,Manado,ID,89.6,few clouds,1.49,124.85,Aryaduta Hotel
351,Mahendranagar,NP,78.69,heavy intensity rain,28.92,80.33,Agan Cottage
352,Balsas,BR,83.23,overcast clouds,-7.53,-46.04,Novo Hotel
354,Santa Rosa,PH,88.0,light rain,14.31,121.11,Amethyst Econotel
360,Buala,SB,85.39,light rain,-8.14,159.59,Maringe Lagoon Lodge
363,Jalu,LY,77.54,clear sky,29.03,21.55,Jalu Hotel
365,Kulhudhuffushi,MV,82.33,overcast clouds,6.62,73.07,Haajy Guest House 1
369,Lethem,GY,76.37,overcast clouds,3.38,-59.8,Savannah Inn
374,Masallatah,LY,77.68,clear sky,32.62,14.0,Mohamed Ahmed Salem
376,Tripoli,LY,81.41,clear sky,32.88,13.19,Al Waddan Hotel
377,Riyadh,SA,75.2,few clouds,24.69,46.72,InterContinental Riyadh
379,Tahta,EG,82.4,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
381,Craig,US,86.0,clear sky,40.52,-107.55,Candlewood Suites Craig-Northwest
383,Winder,US,75.2,clear sky,33.99,-83.72,Jameson Inn Winder
388,Dakar,SN,82.4,few clouds,14.69,-17.44,Novotel Dakar
392,Caucaia,BR,79.0,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
395,Ponnani,IN,75.2,mist,10.77,75.93,Rouba Residency
396,Puri,IN,78.8,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
398,Manicore,BR,80.6,clear sky,-5.81,-61.3,Pousada da wanda
400,Gizo,SB,82.72,overcast clouds,-8.1,156.84,Imagination Island
410,Bandarbeyla,SO,77.86,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
415,Sinnamary,GF,78.42,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
417,Mizdah,LY,76.71,clear sky,31.45,12.98,محمدالمبروك الاريقط
418,Westport,US,75.2,broken clouds,41.14,-73.36,The Westport Inn
422,Tabuk,PH,86.68,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
423,Pamekasan,ID,86.14,broken clouds,-7.16,113.47,OYO 3027 Griya Temenggungan Syariah
428,Cabaiguan,CU,78.8,broken clouds,22.08,-79.5,Campismo Arroyo Lajas
433,Tecoanapa,MX,81.39,broken clouds,16.52,-98.75,Hotel Manglares
434,Tortoli,IT,75.2,scattered clouds,39.93,9.66,Hotel La Bitta
440,Itoman,JP,89.6,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
441,Mangrol,IN,82.71,light rain,21.12,70.12,Hotel The Royal Honours
444,Miles City,US,87.8,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
446,Taketa,JP,89.6,few clouds,32.97,131.38,いっぷく茶屋
448,Sur,OM,85.32,scattered clouds,22.57,59.53,Sur Plaza Hotel
451,Point Pedro,LK,82.51,overcast clouds,9.82,80.23,Gtr homes
453,Pokhara,NP,77.61,light rain,28.23,83.98,Hotel View Point
454,Jhang,PK,75.0,thunderstorm with rain,33.67,72.7,Nazakat khan market
459,Tanete,ID,87.42,few clouds,-3.94,119.78,Wisma Tri Multi
460,Carutapera,BR,77.22,few clouds,-1.2,-46.02,Lidera
465,Ambulu,ID,82.72,few clouds,-8.35,113.61,Hotel Ambulu Jember
466,Awbari,LY,82.49,clear sky,26.59,12.78,فندق أوباري
468,Kabin Buri,TH,85.51,scattered clouds,13.95,101.72,At Home Kabinburi
470,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
471,Basco,PH,85.1,overcast clouds,20.45,121.97,Nathaniel's Lodge
475,Coro,VE,80.4,overcast clouds,11.4,-69.67,Federal
476,Gillette,US,84.2,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
477,Alofi,NU,75.2,shower rain,-19.06,-169.92,Taloa Heights
478,San Patricio,MX,78.06,light rain,19.22,-104.7,Hotel Cabo Blanco
480,North Platte,US,79.0,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
484,Fairbanks,US,75.2,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
490,Gushikawa,JP,89.6,broken clouds,26.35,127.87,Kirari Guest House
491,Pochutla,MX,80.01,light rain,15.74,-96.47,Hotel Posada San Jose
501,Kirakira,SB,84.76,light rain,-10.45,161.92,SanBiz Lodge
502,Harper,LR,75.29,overcast clouds,4.38,-7.72,Screensaver
505,Manadhoo,MV,81.95,broken clouds,5.77,73.38,Vevu Guesthouse
507,Dehloran,IR,84.88,clear sky,32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
511,Hervey Bay,AU,82.4,clear sky,-25.3,152.85,Shelly Bay Resort
