City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Saint-Gaudens,FR,43.08,0.67,63.0,82,77,4.7,broken clouds
126,Pisco,PE,-13.7,-76.22,62.6,77,29,4.7,scattered clouds
127,Salinopolis,BR,-0.61,-47.36,79.56,80,5,12.88,clear sky
128,Mnogovershinnyy,RU,53.94,139.92,48.07,99,100,10.71,light rain
129,Kalangala,UG,-0.31,32.23,71.64,76,97,10.38,light rain
130,Lohardaga,IN,23.43,84.68,77.0,100,75,6.93,light rain
131,Beian,NO,63.66,9.57,59.0,93,32,4.7,scattered clouds
132,Calituban,PH,10.24,124.29,84.2,74,90,3.36,overcast clouds
133,Sitka,US,57.05,-135.33,57.2,87,90,3.22,moderate rain
134,Bethel,US,41.37,-73.41,64.0,82,1,5.82,clear sky
135,Saldanha,ZA,-33.01,17.94,42.8,81,33,1.12,scattered clouds
136,Cardston,CA,49.2,-113.3,82.99,32,40,10.29,scattered clouds
137,Thompson,CA,55.74,-97.86,62.6,77,90,4.7,overcast clouds
138,Provideniya,RU,64.38,-173.3,53.6,76,90,11.18,overcast clouds
139,Sola,VU,-13.88,167.55,79.03,87,100,11.12,overcast clouds
140,Xinyu,CN,27.8,114.93,91.99,57,35,6.69,scattered clouds
141,Klaksvik,FO,62.23,-6.59,46.4,87,100,1.12,overcast clouds
142,Greensburg,US,40.3,-79.54,69.8,52,90,4.32,overcast clouds
143,La Ronge,CA,55.1,-105.28,69.8,68,20,11.41,few clouds
144,Hammerfest,NO,70.66,23.68,48.2,100,95,9.17,overcast clouds
145,Coihaique,CL,-45.58,-72.07,30.2,80,0,4.7,clear sky
146,Loharu,IN,28.45,75.82,89.73,65,100,12.97,moderate rain
147,Vestmannaeyjar,IS,63.44,-20.27,51.44,88,37,19.24,scattered clouds
148,Birao,CF,10.28,22.79,70.79,96,99,3.62,light rain
149,Dikson,RU,73.51,80.55,54.43,71,0,9.78,clear sky
150,Ostrovnoy,RU,68.05,39.51,44.08,81,0,4.85,clear sky
151,Longyearbyen,SJ,78.22,15.64,41.0,80,75,12.75,light intensity shower rain
152,Henties Bay,NA,-22.12,14.28,54.64,62,0,5.26,clear sky
153,Port Shepstone,ZA,-30.74,30.45,55.26,44,0,22.21,clear sky
154,Bahia Honda,CU,22.9,-83.16,79.9,80,2,3.15,clear sky
155,Port Elizabeth,ZA,-33.92,25.57,48.2,87,40,17.22,scattered clouds
156,Mount Isa,AU,-20.73,139.5,86.0,13,2,11.41,clear sky
157,Tonder,DK,54.93,8.87,64.4,88,60,9.17,broken clouds
158,Denpasar,ID,-8.65,115.22,80.6,88,40,14.99,scattered clouds
159,Newport Beach,US,33.62,-117.93,80.01,65,75,6.93,broken clouds
160,Iqaluit,CA,63.75,-68.51,42.01,93,75,18.34,broken clouds
161,Manggar,ID,-2.88,108.27,83.68,72,80,16.78,broken clouds
